update,avg_reward
0,0.0000
1,19.5081
2,19.9881
3,25.3099
4,24.4659
5,26.8956
6,26.9521
7,29.8854
8,30.2395
9,32.6060
10,33.0128
11,36.7119
12,38.3128
13,41.6951
14,39.4800
15,42.2570
16,44.6455
17,47.3405
18,46.6079
19,45.8269
20,50.7245
21,52.0086
22,51.5341
23,54.6327
24,54.3978
25,56.5852
26,54.7181
27,62.0241
28,58.7094
29,57.6825
30,64.2073
31,66.3314
32,68.0081
33,67.3525
34,69.1456
35,74.4499
36,76.8211
37,78.6694
38,80.5812
39,82.1182
40,84.8074
41,82.5416
42,86.6298
43,87.8249
44,93.2249
45,87.4443
46,96.5451
47,102.3977
48,102.2896
49,105.0589
50,103.0029
51,103.8697
52,109.9765
53,106.6428
54,107.9273
55,104.6802
56,112.3484
57,109.0358
58,112.3421
59,122.2654
60,119.8098
61,113.6140
62,118.1916
63,126.5630
64,114.1368
65,113.9674
66,119.7390
67,118.9642
68,133.6872
69,127.9574
70,124.7046
71,130.6665
72,127.9858
73,137.4891
74,125.2150
75,120.1616
76,116.8248
77,132.7773
78,131.7981
79,132.0453
80,128.5193
81,133.2726
82,129.1139
83,134.5869
84,133.3201
85,139.6176
86,148.5635
87,132.3023
88,140.1930
89,138.6694
90,139.5279
91,134.7005
92,128.2675
93,132.0925
94,152.8236
95,143.5126
96,148.1453
97,141.8129
98,145.6874
99,140.1748
100,132.3713
101,139.1102
102,128.8052
103,126.8558
104,123.1360
105,129.3856
106,148.8658
107,126.0840
108,139.9930
109,140.0821
110,125.4505
111,133.6767
112,127.4232
113,135.3126
114,131.9408
115,143.2688
116,134.0890
117,135.0167
118,137.9366
119,129.4993
120,137.5574
121,134.7695
122,146.8969
123,127.9977
124,145.2625
125,134.6683
126,145.2837
127,135.5077
128,144.6625
129,125.1703
130,140.3619
131,134.4971
132,119.3103
133,144.3560
134,136.2186
135,143.3882
136,151.1931
137,144.1001
138,153.0562
139,157.3008
140,149.8683
141,157.9536
142,153.2087
143,143.3258
144,144.4197
145,149.7491
146,144.8877
147,136.8609
148,150.8990
149,148.4849
150,129.8346
151,143.9312
152,142.4601
153,149.0167
154,152.9557
155,147.7692
156,145.6265
157,133.5305
158,154.6136
159,142.1504
160,159.3948
161,146.9506
162,141.9972
163,147.4228
164,153.7423
165,144.9965
166,153.9444
167,148.5487
168,160.3686
169,153.7307
170,163.7290
171,152.8691
172,140.3273
173,137.2683
174,151.4619
175,166.0776
176,142.7695
177,137.4205
178,162.4208
179,164.0015
180,148.8063
181,142.0755
182,145.3490
183,143.5481
184,147.7470
185,142.2555
186,141.1397
187,151.3075
188,135.0995
189,133.9631
190,141.0981
191,160.4507
192,139.9877
193,149.2591
194,141.5883
195,159.4366
196,144.2169
197,142.7831
198,148.7577
199,157.7522
200,153.8339
201,142.1997
202,152.4895
203,145.8633
204,143.9814
205,153.4356
206,153.9578
207,161.4036
208,160.7758
209,165.3481
210,164.9778
211,151.9868
212,160.0442
213,177.1122
214,164.8488
215,147.4243
216,151.5735
217,172.3147
218,175.4287
219,173.6999
220,180.9691
221,183.4770
222,176.3536
223,177.8426
224,183.2697
225,181.3735
226,189.2748
227,179.4457
228,176.1283
229,192.3065
230,191.1087
231,163.8260
232,183.8348
233,180.0292
234,182.1168
235,180.8885
236,189.3307
237,182.8060
238,175.6937
239,172.1658
240,173.6366
241,180.4404
242,181.1085
243,163.2941
244,186.4678
245,184.2767
246,175.5237
247,166.6746
248,183.9678
249,157.5091
250,172.6045
251,162.7102
252,169.6180
